,university,course,type,review,votes,students,difficulty
0,University of Michigan,Python for Everybody,SPECIALIZATION,4.8,225236.0,2400000.0,Beginner
1,Google,Google IT Automation with Python,PROFESSIONAL CERTIFICATE,4.7,21768.0,410000.0,Beginner
2,University of Michigan,Python 3 Programming,SPECIALIZATION,4.7,15904.0,290000.0,Beginner
3,University of Michigan,Applied Data Science with Python,SPECIALIZATION,4.5,29358.0,730000.0,Intermediate
4,Università di Napoli Federico II,Data Science con Python e R,SPECIALIZATION,,,,Intermediate
5,Google,Crash Course on Python,COURSE,4.8,17595.0,350000.0,Beginner
6,IBM,IBM Data Science,PROFESSIONAL CERTIFICATE,4.6,74747.0,830000.0,Beginner
7,University of Michigan,Programming for Everybody (Getting Started with Python),COURSE,4.8,189604.0,2200000.0,Mixed
8,IBM,Data Science Fundamentals with Python and SQL,SPECIALIZATION,4.6,37454.0,450000.0,Beginner
9,IBM,IBM Data Analyst,PROFESSIONAL CERTIFICATE,4.6,36275.0,510000.0,Beginner
10,IBM,"Python for Data Science, AI & Development",COURSE,4.6,21662.0,300000.0,Beginner
11,University of Pennsylvania,Introduction to Programming with Python and Java,SPECIALIZATION,4.0,179.0,11000.0,Beginner
12,Moscow Institute of Physics and Technology,Программирование на Python,SPECIALIZATION,4.5,1695.0,71000.0,Intermediate
13,University of Michigan,Statistics with Python,SPECIALIZATION,4.6,2359.0,92000.0,Beginner
14,"University of California, Irvine",IELTS Preparation,SPECIALIZATION,4.5,50.0,4000.0,Beginner
15,Rice University,Introduction to Scripting in Python,SPECIALIZATION,4.7,3460.0,100000.0,Beginner
16,University of California San Diego,Data Structures and Algorithms,SPECIALIZATION,4.6,13335.0,490000.0,Intermediate
17,University of Colorado Boulder,Data Structures and Algorithms,SPECIALIZATION,4.4,8.0,1600.0,Advanced
18,Pontificia Universidad Católica de Chile,Introducción a la programación en Python I: Aprendiendo a programar con Python,COURSE,4.4,2768.0,170000.0,Beginner
19,Codio,Programming in Python: A Hands-on Introduction,SPECIALIZATION,4.7,23.0,1600.0,Beginner
20,University of Michigan,Python Basics,COURSE,4.8,12882.0,250000.0,Beginner
21,The Hong Kong University of Science and Technology,Python and Statistics for Financial Analysis,COURSE,4.4,2522.0,93000.0,Intermediate
22,DeepLearning.AI,Deep Learning,SPECIALIZATION,4.8,123216.0,1100000.0,Intermediate
23,Coursera Project Network,Introduction to Python,GUIDED PROJECT,4.5,1634.0,26000.0,Beginner
24,Infosec,Python for Cybersecurity,SPECIALIZATION,4.6,16.0,,Intermediate
25,University of Michigan,Django for Everybody,SPECIALIZATION,4.7,1367.0,55000.0,Intermediate
26,Coursera Project Network,COVID19 Data Analysis Using Python,GUIDED PROJECT,4.6,1791.0,26000.0,Intermediate
27,IBM,IBM Full Stack Cloud Developer,PROFESSIONAL CERTIFICATE,4.6,22680.0,340000.0,Beginner
28,HSE University,Основы программирования на Python,COURSE,4.5,2712.0,130000.0,Beginner
29,Wesleyan University,Python Programming: A Concise Introduction,COURSE,4.7,4265.0,160000.0,Beginner
30,Universidad Austral,Aprende a programar con Python,SPECIALIZATION,4.5,1714.0,43000.0,Beginner
31,IBM,Advanced Data Science with IBM,SPECIALIZATION,4.3,2705.0,110000.0,Advanced
32,University of Pennsylvania,Introduction to Python Programming,COURSE,3.9,129.0,8100.0,Beginner
33,Rice University,Fundamentals of Computing,SPECIALIZATION,4.8,3660.0,240000.0,Beginner
34,EDHEC Business School,Investment Management with Python and Machine Learning,SPECIALIZATION,4.6,1227.0,42000.0,Beginner
35,Coursera Project Network,Create Your First Web App with Python and Flask,GUIDED PROJECT,4.5,377.0,12000.0,Intermediate
36,Coursera Project Network,Exploratory Data Analysis With Python and Pandas,GUIDED PROJECT,4.6,217.0,5800.0,Beginner
37,University of Michigan,Introduction to Data Science in Python,COURSE,4.5,24033.0,600000.0,Intermediate
38,University of Michigan,Python Classes and Inheritance,COURSE,4.7,2954.0,64000.0,Intermediate
